Grade,Domain,Key Concept,Technical Depth & Detailed Explanation
Grade K,Life Science,Needs of Living Things,"Organisms require specific inputs to maintain metabolic function. Animals need water, air, and food for energy. Plants are autotrophs that require light, water, and minerals. Habitats provide these resources and offer protection."
Grade 1,Physical Science,Light and Sound Waves,"Sound is a mechanical wave created by vibrations that require a medium. Light is electromagnetic radiation that travels in straight lines (rays) and can be reflected, refracted, or absorbed by different materials."
Grade 2,Earth Science,Earth’s Surface Changes,"The lithosphere undergoes constant change. Fast changes include volcanic eruptions and earthquakes. Slow changes occur through weathering (breaking rock) and erosion (moving sediment) by water, wind, and ice."
Grade 3,Physical Science,Force and Motion,Force is a push or pull measured in Newtons. Balanced forces result in no motion change. Unbalanced forces cause acceleration. Gravity is a non-contact force that pulls objects toward Earth's center.
Grade 4,Life Science,Organism Structures,"Multicellular organisms have specialized internal and external structures. Plants use roots for absorption and leaves for photosynthesis. Animals use nervous systems to process sensory input (sight, sound) and respond to their environment."
Grade 5,Physical Science,Matter and its Interactions,Matter is composed of atoms too small to see. The Law of Conservation of Mass states that mass is neither created nor destroyed during physical or chemical changes. Chemical reactions create new substances with unique properties.
Grade 6,Earth Science,Atmosphere and Weather,"The Sun's energy drives the water cycle and atmospheric patterns. Uneven heating causes convection currents (rising warm air, sinking cool air). The Coriolis effect deflects winds, creating global weather patterns and ocean currents."
Grade 7,Life Science,Cells and Genetics,The cell is the basic unit of life. Eukaryotic cells contain organelles like mitochondria (energy) and nuclei (DNA). Heredity is the passage of genetic instructions (alleles). Punnett squares predict the probability of traits in offspring.
Grade 8,Physical Science,Newton's Laws of Motion,1st Law: Inertia (resistance to change). 2nd Law: F=ma (Force equals mass times acceleration). 3rd Law: Action/Reaction. These laws explain the motion of all macroscopic objects and orbital mechanics.
Grade 8,Earth Science,Plate Tectonics,"Earth's lithosphere is divided into plates moving over the asthenosphere. Driven by mantle convection, plates interact at boundaries: Divergent (moving apart), Convergent (colliding/subducting), and Transform (sliding)."
Grade 8,Physical Science,Electromagnetic Spectrum,"The EM spectrum includes radio waves, microwaves, infrared, visible light, UV, X-rays, and gamma rays. These waves vary in wavelength and frequency. High-frequency waves (Gamma) carry more energy than low-frequency waves (Radio)."